time,MLII,V1
0,-0.6,-0.045
0.002777778,-0.615,-0.075
0.005555556,-0.645,-0.14
0.008333333,-0.7,-0.22
0.011111111,-0.755,-0.285
0.013888889,-0.77,-0.35
0.016666667,-0.785,-0.385
0.019444444,-0.79,-0.39
0.022222222,-0.785,-0.34
0.025,-0.77,-0.31
0.027777778,-0.745,-0.28
0.030555556,-0.715,-0.31
0.033333333,-0.715,-0.325
0.036111111,-0.72,-0.34
0.038888889,-0.76,-0.32
0.041666667,-0.77,-0.32
0.044444444,-0.785,-0.315
0.047222222,-0.8,-0.315
0.05,-0.8,-0.32
0.052777778,-0.8,-0.3
0.055555556,-0.8,-0.31
0.058333333,-0.76,-0.33
0.061111111,-0.74,-0.305
0.063888889,-0.685,-0.31
0.066666667,-0.655,-0.31
0.069444444,-0.65,-0.275
0.072222222,-0.7,-0.25
0.075,-0.77,-0.27
0.077777778,-0.825,-0.29
0.080555556,-0.895,-0.325
0.083333333,-0.89,-0.355
0.086111111,-0.87,-0.365
0.088888889,-0.855,-0.38
0.091666667,-0.8,-0.345
0.094444444,-0.785,-0.365
0.097222222,-0.755,-0.41
0.1,-0.73,-0.535
0.102777778,-0.745,-0.67
0.105555556,-0.76,-0.81
0.108333333,-0.75,-0.945
0.111111111,-0.645,-1.135
0.113888889,-0.475,-1.34
0.116666667,-0.32,-1.555
0.119444444,-0.195,-1.685
0.122222222,-0.085,-1.715
0.125,-0.02,-1.69
0.127777778,0.04,-1.61
0.130555556,0.125,-1.53
0.133333333,0.27,-1.425
0.136111111,0.47,-1.28
0.138888889,0.695,-1.05
0.141666667,0.855,-0.715
0.144444444,0.89,-0.365
0.147222222,0.79,-0.055
0.15,0.425,0.135
0.152777778,-0.12,0.235
0.155555556,-0.74,0.18
0.158333333,-1.32,0.065
0.161111111,-1.71,-0.085
0.163888889,-1.915,-0.205
0.166666667,-1.99,-0.315
0.169444444,-2,-0.35
0.172222222,-2.03,-0.36
0.175,-2.08,-0.355
0.177777778,-2.15,-0.385
0.180555556,-2.185,-0.44
0.183333333,-2.21,-0.495
0.186111111,-2.18,-0.545
0.188888889,-2.13,-0.535
0.191666667,-2.085,-0.5
0.194444444,-2.06,-0.455
0.197222222,-2.025,-0.425
0.2,-2,-0.405
0.202777778,-1.95,-0.415
0.205555556,-1.91,-0.475
0.208333333,-1.82,-0.51
0.211111111,-1.74,-0.51
0.213888889,-1.595,-0.465
0.216666667,-1.44,-0.385
0.219444444,-1.275,-0.29
0.222222222,-1.1,-0.22
0.225,-0.95,-0.18
0.227777778,-0.835,-0.135
0.230555556,-0.79,-0.13
0.233333333,-0.77,-0.12
0.236111111,-0.775,-0.1
0.238888889,-0.8,-0.08
0.241666667,-0.825,-0.05
0.244444444,-0.81,-0.01
0.247222222,-0.81,-0.005
0.25,-0.805,-0.04
0.252777778,-0.79,-0.07
0.255555556,-0.755,-0.12
0.258333333,-0.72,-0.16
0.261111111,-0.695,-0.175
0.263888889,-0.7,-0.195
0.266666667,-0.705,-0.175
0.269444444,-0.735,-0.15
0.272222222,-0.74,-0.16
0.275,-0.765,-0.155
0.277777778,-0.75,-0.14
0.280555556,-0.76,-0.145
0.283333333,-0.785,-0.145
0.286111111,-0.795,-0.16
0.288888889,-0.805,-0.21
0.291666667,-0.84,-0.21
0.294444444,-0.86,-0.21
0.297222222,-0.86,-0.145
0.3,-0.87,-0.135
0.302777778,-0.9,-0.13
0.305555556,-0.91,-0.17
0.308333333,-0.935,-0.265
0.311111111,-0.925,-0.35
0.313888889,-0.915,-0.41
0.316666667,-0.9,-0.39
0.319444444,-0.865,-0.325
0.322222222,-0.865,-0.235
0.325,-0.85,-0.23
0.327777778,-0.86,-0.23
0.330555556,-0.88,-0.255
0.333333333,-0.915,-0.28
0.336111111,-0.95,-0.28
0.338888889,-0.965,-0.315
0.341666667,-0.965,-0.345
0.344444444,-0.97,-0.41
0.347222222,-0.945,-0.47
0.35,-0.98,-0.49
0.352777778,-1.01,-0.45
0.355555556,-1.005,-0.365
0.358333333,-1.035,-0.275
0.361111111,-1.025,-0.21
0.363888889,-0.99,-0.2
0.366666667,-0.95,-0.22
0.369444444,-0.93,-0.255
0.372222222,-0.905,-0.295
0.375,-0.9,-0.31
0.377777778,-0.88,-0.315
0.380555556,-0.855,-0.31
0.383333333,-0.835,-0.305
0.386111111,-0.82,-0.33
0.388888889,-0.8,-0.35
0.391666667,-0.81,-0.335
