 q,amplitude,
0,-0.23,-0.035
0.002777778,-0.235,-0.02
0.005555556,-0.24,-0.02
0.008333334,-0.24,-0.01
0.011111112,-0.22,-0.005
0.01388889,-0.22,-0.01
0.016666668,-0.225,-0.01
0.019444446,-0.23,-0.02
0.022222224,-0.23,-0.015
0.025000002,-0.235,-0.01
0.02777778,-0.24,-0.005
0.030555558,-0.22,-0.015
0.033333336,-0.23,-0.015
0.036111114,-0.23,-0.025
0.038888892,-0.235,-0.015
0.04166667,-0.23,-0.015
0.044444448,-0.225,-0.005
0.047222226,-0.225,-0.015
0.050000004,-0.235,-0.02
0.052777782,-0.24,-0.035
0.05555556,-0.25,-0.03
0.058333338,-0.245,-0.015
0.061111116,-0.23,-0.015
0.063888894,-0.24,-0.015
0.066666672,-0.245,-0.03
0.06944445,-0.265,-0.045
0.072222228,-0.25,-0.04
0.075000006,-0.25,-0.03
0.077777784,-0.25,-0.03
0.080555562,-0.25,-0.04
0.08333334,-0.255,-0.06
0.086111118,-0.27,-0.06
0.088888896,-0.28,-0.05
0.091666674,-0.26,-0.05
0.094444452,-0.265,-0.055
0.09722223,-0.265,-0.055
0.100000008,-0.275,-0.065
0.102777786,-0.28,-0.08
0.105555564,-0.29,-0.075
0.108333342,-0.285,-0.075
0.11111112,-0.28,-0.065
0.113888898,-0.28,-0.065
0.116666676,-0.295,-0.08
0.119444454,-0.305,-0.095
0.122222232,-0.295,-0.085
0.12500001,-0.3,-0.075
0.127777788,-0.29,-0.08
0.130555566,-0.29,-0.085
0.133333344,-0.31,-0.095
0.136111122,-0.31,-0.095
0.1388889,-0.32,-0.095
0.141666678,-0.31,-0.1
0.144444456,-0.305,-0.09
0.147222234,-0.3,-0.08
0.150000012,-0.3,-0.1
0.15277779,-0.31,-0.115
0.155555568,-0.32,-0.1
0.158333346,-0.305,-0.09
0.161111124,-0.3,-0.085
0.163888902,-0.3,-0.095
0.16666668,-0.31,-0.11
0.169444458,-0.32,-0.11
0.172222236,-0.315,-0.11
0.175000014,-0.315,-0.095
0.177777792,-0.295,-0.1
0.18055557,-0.295,-0.09
0.183333348,-0.295,-0.1
0.186111126,-0.29,-0.11
0.188888904,-0.28,-0.1
0.191666682,-0.255,-0.1
0.19444446,-0.23,-0.09
0.197222238,-0.22,-0.095
0.200000016,-0.23,-0.095
0.202777794,-0.235,-0.11
0.205555572,-0.235,-0.09
0.20833335,-0.22,-0.08
0.211111128,-0.21,-0.07
0.213888906,-0.205,-0.085
0.216666684,-0.195,-0.1
0.219444462,-0.2,-0.095
0.22222224,-0.205,-0.1
0.225000018,-0.205,-0.085
0.227777796,-0.19,-0.085
0.230555574,-0.185,-0.08
0.233333352,-0.19,-0.09
0.23611113,-0.2,-0.1
0.238888908,-0.21,-0.09
0.241666686,-0.215,-0.1
0.244444464,-0.23,-0.1
0.247222242,-0.24,-0.11
0.25000002,-0.25,-0.13
0.252777798,-0.26,-0.15
0.255555576,-0.25,-0.15
