time,amplitude,V1
0,0,0.095
0.002777778,0.005,0.095
0.005555556,0.005,0.095
0.008333333,0.005,0.095
0.011111111,-0.015,0.095
0.013888889,-0.025,0.095
0.016666667,-0.035,0.095
0.019444444,-0.015,0.095
0.022222222,-0.015,0.095
0.025,-0.015,0.11
0.027777778,-0.03,0.1
0.030555556,-0.045,0.085
0.033333333,-0.05,0.05
0.036111111,-0.045,0.06
0.038888889,-0.035,0.09
0.041666667,-0.06,0.095
0.044444444,-0.065,0.095
0.047222222,-0.085,0.07
0.05,-0.08,0.045
0.052777778,-0.075,0.055
0.055555556,-0.07,0.065
0.058333333,-0.085,0.09
0.061111111,-0.095,0.09
0.063888889,-0.105,0.065
0.066666667,-0.12,0.06
0.069444444,-0.105,0.055
0.072222222,-0.1,0.065
0.075,-0.1,0.085
0.077777778,-0.12,0.085
0.080555556,-0.135,0.035
0.083333333,-0.13,0.01
0.086111111,-0.115,-0.045
0.088888889,-0.115,-0.07
0.091666667,-0.135,-0.075
0.094444444,-0.145,-0.115
0.097222222,-0.15,-0.175
0.1,-0.16,-0.235
0.102777778,-0.155,-0.265
0.105555556,-0.145,-0.25
0.108333333,-0.155,-0.22
0.111111111,-0.175,-0.19
0.113888889,-0.18,-0.18
0.116666667,-0.175,-0.18
0.119444444,-0.175,-0.185
0.122222222,-0.16,-0.15
0.125,-0.16,-0.06
0.127777778,-0.17,0.115
0.130555556,-0.175,0.375
0.133333333,-0.185,0.675
0.136111111,-0.175,0.94
0.138888889,-0.17,1.08
0.141666667,-0.16,1.135
0.144444444,-0.175,1.185
0.147222222,-0.195,1.225
0.15,-0.19,1.28
0.152777778,-0.19,1.305
0.155555556,-0.19,1.305
0.158333333,-0.185,1.29
0.161111111,-0.21,1.22
0.163888889,-0.2,1.135
0.166666667,-0.2,1.035
0.169444444,-0.18,0.965
0.172222222,-0.18,0.9
0.175,-0.18,0.895
0.177777778,-0.19,0.895
0.180555556,-0.195,0.895
0.183333333,-0.2,0.905
0.186111111,-0.19,0.91
0.188888889,-0.175,0.965
0.191666667,-0.18,1.01
0.194444444,-0.19,1.04
0.197222222,-0.205,1.07
0.2,-0.2,1.07
0.202777778,-0.195,1.075
0.205555556,-0.185,1.065
0.208333333,-0.195,1.025
0.211111111,-0.195,0.945
0.213888889,-0.19,0.845
0.216666667,-0.195,0.725
0.219444444,-0.17,0.59
0.222222222,-0.17,0.445
0.225,-0.155,0.365
0.227777778,-0.16,0.255
0.230555556,-0.185,0.195
0.233333333,-0.175,0.145
0.236111111,-0.165,0.145
0.238888889,-0.165,0.125
0.241666667,-0.165,0.105
0.244444444,-0.175,0.085
0.247222222,-0.18,0.06
0.25,-0.18,0.045
0.252777778,-0.17,0.06
0.255555556,-0.16,0.07
