time,MLII,V1
0,0.02,0.095
0.002777778,0.04,0.095
0.005555556,0.06,0.095
0.008333333,0.055,0.095
0.011111111111111112,0.07,0.095
0.013888888888888888,0.095,0.095
0.016666666666666666,0.105,0.095
0.019444444444444445,0.11,0.095
0.022222222222222223,0.12,0.095
0.025,0.115,0.11
0.027777777777777773,0.12,0.1
0.030555555555555558,0.145,0.085
0.033333333,0.165,0.05
0.036111111,0.18,0.06
0.038888889,0.195,0.09
0.041666667,0.2,0.095
0.044444444444444446,0.22,0.095
0.047222222,0.25,0.07
0.05,0.27,0.045
0.052777778,0.265,0.055
0.055555556,0.26,0.065
0.058333333333333334,0.27,0.09
0.061111111,0.28,0.09
0.063888889,0.27,0.065
0.066666667,0.25,0.06
0.069444444,0.195,0.055
0.072222222,0.175,0.065
0.075,0.14,0.085
0.077777778,0.1,0.085
0.080555556,0.08,0.035
0.083333333,0.05,0.01
0.086111111,0.065,-0.045
0.088888889,0.04,-0.07
0.091666667,0.025,-0.075
0.094444444,0.035,-0.115
0.097222222,0.06,-0.175
0.1,0.075,-0.235
0.10277777777777776,0.075,-0.265
0.10555555555555556,0.07,-0.25
0.10833333333333334,0.075,-0.22
0.1111111111111111,0.035,-0.19
0.11388888888888889,0,-0.18
0.11666666666666668,-0.05,-0.18
0.11944444444444445,-0.085,-0.185
0.1222222222222222,-0.13,-0.15
0.125,-0.185,-0.06
0.12777777777777777,-0.25,0.115
0.13055555555555556,-0.25,0.375
0.13333333333333333,-0.27,0.675
0.1361111111111111,-0.26,0.94
0.1388888888888889,-0.285,1.08
0.14166666666666666,-0.335,1.135
0.14444444444444443,-0.39,1.185
0.14722222222222223,-0.4,1.225
0.15,-0.41,1.28
0.1527777777777778,-0.45,1.305
0.15555555555555556,-0.495,1.305
0.15833333333333333,-0.53,1.29
0.16111111111111112,-0.555,1.22
0.1638888888888889,-0.565,1.135
0.16666666666666666,-0.595,1.035
0.16944444444444445,-0.625,0.965
0.17222222222222222,-0.685,0.9
0.175,-0.73,0.895
0.17777777777777778,-0.75,0.895
0.18055555555555558,-0.75,0.895
0.1833333333333333,-0.75,0.905
0.18611111111111112,-0.75,0.91
0.18888888888888888,-0.78,0.965
0.19166666666666668,-0.8,1.01
0.19444444444444448,-0.81,1.04
0.19722222222222222,-0.81,1.07
0.2,-0.81,1.07
0.20277777777777778,-0.835,1.075
0.20555555555555557,-0.865,1.065
0.20833333333333331,-0.865,1.025
0.2111111111111111,-0.87,0.945
0.21388888888888888,-0.845,0.845
0.21666666666666667,-0.795,0.725
0.21944444444444444,-0.775,0.59
0.2222222222222222,-0.77,0.445
0.225,-0.785,0.365
0.22777777777777777,-0.79,0.255
0.2305555555555556,-0.74,0.195
0.2333333333333333,-0.705,0.145
0.2361111111111111,-0.68,0.145
0.2388888888888889,-0.655,0.125
0.24166666666666664,-0.645,0.105
0.24444444444444444,-0.605,0.085
0.24722222222222223,-0.55,0.06
0.25,-0.49,0.045
0.25277777777777777,-0.44,0.06
0.2555555555555556,-0.405,0.07
0.25833333333333336,-0.38,0.07
0.2611111111111111,-0.345,0.035
0.2638888888888889,-0.29,0.01
0.26666666666666666,-0.275,0.01
0.26944444444444443,-0.265,0.025
0.2722222222222222,-0.26,0.05
0.275,-0.25,0.04
0.2777777777777778,-0.225,0.035
0.28055555555555556,-0.2,0
0.2833333333333333,-0.19,-0.005
0.2861111111111111,-0.16,0.015
0.28888888888888886,-0.145,0.045
0.2916666666666667,-0.14,0.045
0.29444444444444445,-0.14,0.035
0.2972222222222222,-0.11,0
0.3,-0.085,-0.015
0.30277777777777776,-0.085,0
0.3055555555555556,-0.075,0.015
0.30833333333333335,-0.06,0.04
0.3111111111111111,-0.05,0.035
0.3138888888888889,-0.035,0.02
0.31666666666666665,0,-0.01
0.3194444444444444,0.015,0
0.32222222222222224,0.03,0.015
0.325,0.035,0.045
0.3277777777777778,0.065,0.055
0.33055555555555555,0.115,0.03
0.3333333333333333,0.14,0
0.33611111111111114,0.15,-0.005
0.3388888888888889,0.13,0.025
0.3416666666666667,0.11,0.05
0.34444444444444444,0.09,0.045
0.3472222222222222,0.13,0.03
0.35,0.15,0.01
0.3527777777777778,0.17,0.01
0.35555555555555557,0.17,0.03
0.35833333333333334,0.18,0.035
0.3611111111111111,0.195,0.055
0.3638888888888889,0.22,0.055
0.3666666666666666,0.255,0.025
0.36944444444444446,0.255,0.02
0.37222222222222223,0.235,0.035
0.375,0.21,0.075
0.37777777777777777,0.175,0.08
0.38055555555555554,0.17,0.075
0.38333333333333336,0.16,0.045
0.3861111111111112,0.17,0.045
0.3888888888888889,0.135,0.07
0.39166666666666666,0.1,0.1
0.39444444444444443,0.06,0.115
0.3972222222222222,0.065,0.09
0.4,0.07,0.09
0.4027777777777778,0.065,0.085
0.40555555555555556,0.07,0.11
0.4083333333333333,0.055,0.125
0.4111111111111111,0.055,0.14
0.41388888888888886,0.08,0.14
0.4166666666666667,0.1,0.125
0.41944444444444445,0.09,0.13
0.4222222222222222,0.065,0.14
0.425,-0.01,0.165
0.42777777777777776,-0.05,0.18
0.4305555555555556,-0.11,0.185
0.43333333333333335,-0.14,0.175
0.4361111111111112,-0.18,0.18
0.4388888888888889,-0.215,0.18
0.4416666666666666,-0.245,0.195
