time,amplitude,V1
0,0.02,0.25
0.002777778,0.04,0.26
0.005555556,0.06,0.255
0.008333333,0.055,0.24
0.011111111,0.07,0.245
0.013888889,0.095,0.255
0.016666667,0.105,0.245
0.019444444,0.11,0.255
0.022222222,0.12,0.25
0.025,0.115,0.255
0.027777778,0.12,0.26
0.030555556,0.145,0.26
0.033333333,0.165,0.245
0.036111111,0.18,0.245
0.038888889,0.195,0.255
0.041666667,0.2,0.25
0.044444444,0.22,0.26
0.047222222,0.25,0.255
0.05,0.27,0.245
0.052777778,0.265,0.23
0.055555556,0.26,0.24
0.058333333,0.27,0.255
0.061111111,0.28,0.265
0.063888889,0.27,0.27
0.066666667,0.25,0.25
0.069444444,0.195,0.24
0.072222222,0.175,0.235
0.075,0.14,0.255
0.077777778,0.1,0.26
0.080555556,0.08,0.245
0.083333333,0.05,0.245
0.086111111,0.065,0.24
0.088888889,0.04,0.24
0.091666667,0.025,0.255
0.094444444,0.035,0.27
0.097222222,0.06,0.265
0.1,0.075,0.255
0.102777778,0.075,0.23
0.105555556,0.07,0.22
0.108333333,0.075,0.245
0.111111111,0.035,0.255
0.113888889,0,0.255
0.116666667,-0.05,0.23
0.119444444,-0.085,0.21
0.122222222,-0.13,0.195
0.125,-0.185,0.205
0.127777778,-0.25,0.2
0.130555556,-0.25,0.22
0.133333333,-0.27,0.21
0.136111111,-0.26,0.18
0.138888889,-0.285,0.165
0.141666667,-0.335,0.18
0.144444444,-0.39,0.2
0.147222222,-0.4,0.22
0.15,-0.41,0.21
0.152777778,-0.45,0.18
0.155555556,-0.495,0.185
0.158333333,-0.53,0.195
0.161111111,-0.555,0.215
0.163888889,-0.565,0.22
0.166666667,-0.595,0.21
0.169444444,-0.625,0.195
0.172222222,-0.685,0.185
0.175,-0.73,0.19
0.177777778,-0.75,0.21
0.180555556,-0.75,0.215
0.183333333,-0.75,0.215
0.186111111,-0.75,0.205
0.188888889,-0.78,0.185
0.191666667,-0.8,0.2
0.194444444,-0.81,0.22
0.197222222,-0.81,0.225
0.2,-0.81,0.22
0.202777778,-0.835,0.205
0.205555556,-0.865,0.195
0.208333333,-0.865,0.2
0.211111111,-0.87,0.205
0.213888889,-0.845,0.22
0.216666667,-0.795,0.215
0.219444444,-0.775,0.195
0.222222222,-0.77,0.19
0.225,-0.785,0.2
0.227777778,-0.79,0.22
0.230555556,-0.74,0.23
0.233333333,-0.705,0.215
0.236111111,-0.68,0.19
0.238888889,-0.655,0.185
0.241666667,-0.645,0.195
0.244444444,-0.605,0.205
0.247222222,-0.55,0.215
0.25,-0.49,0.21
0.252777778,-0.44,0.195
0.255555556,-0.405,0.185
0.258333333,-0.38,0.19
0.261111111,-0.345,0.215
0.263888889,-0.29,0.23
0.266666667,-0.275,0.23
0.269444444,-0.265,0.215
0.272222222,-0.26,0.195
0.275,-0.25,0.195
0.277777778,-0.225,0.2
0.280555556,-0.2,0.21
0.283333333,-0.19,0.21
0.286111111,-0.16,0.19
0.288888889,-0.145,0.18
0.291666667,-0.14,0.175
0.294444444,-0.14,0.195
0.297222222,-0.11,0.21
0.3,-0.085,0.215
0.302777778,-0.085,0.195
0.305555556,-0.075,0.19
0.308333333,-0.06,0.18
0.311111111,-0.05,0.2
0.313888889,-0.035,0.195
0.316666667,0,0.195
0.319444444,0.015,0.175
0.322222222,0.03,0.15
0.325,0.035,0.145
0.327777778,0.065,0.12
0.330555556,0.115,0.115
0.333333333,0.14,0.085
0.336111111,0.15,0.04
0.338888889,0.13,0.005
0.341666667,0.11,-0.03
0.344444444,0.09,-0.065
0.347222222,0.13,-0.135
0.35,0.15,-0.205
0.352777778,0.17,-0.25
0.355555556,0.17,-0.295
0.358333333,0.18,-0.305
0.361111111,0.195,-0.295
0.363888889,0.22,-0.275
0.366666667,0.255,-0.235
0.369444444,0.255,-0.225
0.372222222,0.235,-0.185
0.375,0.21,-0.105
0.377777778,0.175,-0.035
0.380555556,0.17,0.04
0.383333333,0.16,0.11
0.386111111,0.17,0.16
0.388888889,0.135,0.225
0.391666667,0.1,0.31
0.394444444,0.06,0.38
0.397222222,0.065,0.45
0.4,0.07,0.48
0.402777778,0.065,0.495
0.405555556,0.07,0.495
0.408333333,0.055,0.49
0.411111111,0.055,0.49
0.413888889,0.08,0.48
0.416666667,0.1,0.445
0.419444444,0.09,0.38
0.422222222,0.065,0.37
0.425,-0.01,0.355
0.427777778,-0.05,0.35
0.430555556,-0.11,0.345
0.433333333,-0.14,0.34
0.436111111,-0.18,0.315
0.438888889,-0.215,0.295
0.441666667,-0.245,0.29
0.444444444,-0.26,0.295
0.447222222,-0.24,0.325
0.45,-0.245,0.315
0.452777778,-0.29,0.31
0.455555556,-0.34,0.29
0.458333333,-0.38,0.295
0.461111111,-0.42,0.315
0.463888889,-0.45,0.325
0.466666667,-0.48,0.33
0.469444444,-0.54,0.305
0.472222222,-0.575,0.305
0.475,-0.61,0.29
0.477777778,-0.66,0.31
0.480555556,-0.695,0.31
0.483333333,-0.72,0.315
0.486111111,-0.765,0.285
0.488888889,-0.815,0.285
0.491666667,-0.845,0.29
0.494444444,-0.835,0.31
0.497222222,-0.83,0.325
0.5,-0.825,0.325
0.502777778,-0.805,0.325
0.505555556,-0.82,0.31
0.508333333,-0.84,0.305
0.511111111,-0.88,0.325
0.513888889,-0.895,0.335
0.516666667,-0.865,0.34
0.519444444,-0.865,0.33
0.522222222,-0.855,0.33
0.525,-0.84,0.33
0.527777778,-0.83,0.335
0.530555556,-0.815,0.34
0.533333333,-0.805,0.34
