time,MLII,V1
0.0,-0.305,0.25
0.002777777777737356,-0.305,0.26
0.005555555555474712,-0.32,0.255
0.008333333333439441,-0.335,0.24
0.011111111111176797,-0.315,0.245
0.013888888888914153,-0.3,0.255
0.01666666666665151,-0.305,0.245
0.019444444444388864,-0.33,0.255
0.02222222222212622,-0.32,0.25
0.02500000000009095,-0.33,0.255
0.027777777777828305,-0.325,0.26
0.03055555555556566,-0.31,0.26
0.03333333333330302,-0.315,0.245
0.03611111111104037,-0.31,0.245
0.03888888888877773,-0.315,0.255
0.04166666666674246,-0.32,0.25
0.044444444444479814,-0.3,0.26
0.04722222222221717,-0.295,0.255
0.049999999999954525,-0.3,0.245
0.05277777777769188,-0.3,0.23
0.05555555555542924,-0.31,0.24
0.058333333333393966,-0.32,0.255
0.06111111111113132,-0.32,0.265
0.06388888888886868,-0.31,0.27
0.06666666666660603,-0.32,0.25
0.06944444444457076,-0.32,0.24
0.07222222222230812,-0.335,0.235
0.07500000000004547,-0.335,0.255
0.07777777777778283,-0.33,0.26
0.08055555555552019,-0.31,0.245
0.08333333333325754,-0.305,0.245
0.08611111111122227,-0.315,0.24
0.08888888888895963,-0.32,0.24
0.09166666666669698,-0.325,0.255
0.09444444444443434,-0.305,0.27
0.0972222222221717,-0.305,0.265
0.09999999999990905,-0.295,0.255
0.10277777777787378,-0.31,0.23
0.10555555555561114,-0.33,0.22
0.10833333333334849,-0.31,0.245
0.11111111111108585,-0.295,0.255
0.1138888888888232,-0.285,0.255
0.11666666666656056,-0.275,0.23
0.11944444444452529,-0.28,0.21
0.12222222222226264,-0.32,0.195
0.125,-0.315,0.205
0.12777777777773736,-0.305,0.2
0.1305555555554747,-0.3,0.22
0.13333333333343944,-0.31,0.21
0.1361111111111768,-0.33,0.18
0.13888888888891415,-0.345,0.165
0.1416666666666515,-0.345,0.18
0.14444444444438886,-0.33,0.2
0.14722222222212622,-0.325,0.22
0.15000000000009095,-0.32,0.21
0.1527777777778283,-0.33,0.18
0.15555555555556566,-0.315,0.185
0.15833333333330302,-0.325,0.195
0.16111111111104037,-0.3,0.215
0.16388888888877773,-0.305,0.22
0.16666666666674246,-0.32,0.21
0.1694444444444798,-0.325,0.195
0.17222222222221717,-0.35,0.185
0.17499999999995453,-0.33,0.19
0.17777777777769188,-0.32,0.21
0.18055555555542924,-0.3,0.215
0.18333333333339397,-0.31,0.215
0.18611111111113132,-0.315,0.205
0.18888888888886868,-0.32,0.185
0.19166666666660603,-0.33,0.2
0.19444444444457076,-0.33,0.22
0.19722222222230812,-0.31,0.225
0.20000000000004547,-0.315,0.22
0.20277777777778283,-0.315,0.205
0.2055555555555202,-0.31,0.195
0.20833333333325754,-0.31,0.2
0.21111111111122227,-0.305,0.205
0.21388888888895963,-0.31,0.22
0.21666666666669698,-0.315,0.215
0.21944444444443434,-0.335,0.195
0.2222222222221717,-0.34,0.19
0.22499999999990905,-0.35,0.2
0.22777777777787378,-0.33,0.22
0.23055555555561114,-0.3,0.23
0.2333333333333485,-0.305,0.215
0.23611111111108585,-0.32,0.19
0.2388888888888232,-0.33,0.185
0.24166666666656056,-0.34,0.195
0.2444444444445253,-0.31,0.205
0.24722222222226264,-0.31,0.215
0.25,-0.31,0.21
0.25277777777773736,-0.325,0.195
0.2555555555554747,-0.325,0.185
0.25833333333343944,-0.34,0.19
0.2611111111111768,-0.325,0.215
0.26388888888891415,-0.32,0.23
0.2666666666666515,-0.32,0.23
0.26944444444438886,-0.34,0.215
0.2722222222221262,-0.35,0.195
0.27500000000009095,-0.335,0.195
0.2777777777778283,-0.315,0.2
0.28055555555556566,-0.315,0.21
0.283333333333303,-0.315,0.21
0.2861111111110404,-0.3,0.19
0.28888888888877773,-0.295,0.18
0.29166666666674246,-0.3,0.175
0.2944444444444798,-0.29,0.195
0.29722222222221717,-0.27,0.21
0.2999999999999545,-0.265,0.215
0.3027777777776919,-0.275,0.195
0.30555555555542924,-0.285,0.19
0.30833333333339397,-0.29,0.18
0.3111111111111313,-0.305,0.2
0.3138888888888687,-0.32,0.195
0.31666666666660603,-0.325,0.195
0.31944444444457076,-0.355,0.175
0.3222222222223081,-0.39,0.15
0.3250000000000455,-0.42,0.145
0.32777777777778283,-0.41,0.12
0.3305555555555202,-0.43,0.115
0.33333333333325754,-0.445,0.085
0.33611111111122227,-0.48,0.04
0.3388888888889596,-0.52,0.005
0.341666666666697,-0.57,-0.03
0.34444444444443434,-0.615,-0.065
0.3472222222221717,-0.635,-0.135
0.34999999999990905,-0.665,-0.205
0.3527777777778738,-0.73,-0.25
0.35555555555561114,-0.84,-0.295
0.3583333333333485,-0.975,-0.305
0.36111111111108585,-1.155,-0.295
0.3638888888888232,-1.355,-0.275
0.36666666666656056,-1.46,-0.235
0.3694444444445253,-1.48,-0.225
0.37222222222226264,-1.44,-0.185
0.375,-1.405,-0.105
0.37777777777773736,-1.36,-0.035
0.3805555555554747,-1.28,0.04
0.38333333333343944,-1.2,0.11
0.3861111111111768,-1.14,0.16
0.38888888888891415,-1.06,0.225
0.3916666666666515,-0.99,0.31
0.39444444444438886,-0.895,0.38
0.3972222222221262,-0.825,0.45
0.40000000000009095,-0.76,0.48
0.4027777777778283,-0.72,0.495
0.40555555555556566,-0.665,0.495
0.408333333333303,-0.62,0.49
0.4111111111110404,-0.55,0.49
0.41388888888877773,-0.48,0.48
0.41666666666674246,-0.41,0.445
0.4194444444444798,-0.365,0.38
0.42222222222221717,-0.32,0.37
0.4249999999999545,-0.275,0.355
0.4277777777776919,-0.235,0.35
0.43055555555542924,-0.22,0.345
0.43333333333339397,-0.215,0.34
0.4361111111111313,-0.215,0.315
0.4388888888888687,-0.23,0.295
0.44166666666660603,-0.235,0.29
0.44444444444457076,-0.24,0.295
0.4472222222223081,-0.22,0.325
0.4500000000000455,-0.23,0.315
0.45277777777778283,-0.23,0.31
0.4555555555555202,-0.24,0.29
0.45833333333325754,-0.245,0.295
0.46111111111122227,-0.215,0.315
0.4638888888889596,-0.2,0.325
0.466666666666697,-0.175,0.33
0.46944444444443434,-0.18,0.305
0.4722222222221717,-0.185,0.305
0.47499999999990905,-0.19,0.29
0.4777777777778738,-0.18,0.31
0.48055555555561114,-0.16,0.31
0.4833333333333485,-0.16,0.315
0.48611111111108585,-0.165,0.285
0.4888888888888232,-0.18,0.285
0.49166666666656056,-0.185,0.29
0.4944444444445253,-0.2,0.31
0.49722222222226264,-0.185,0.325
0.5,-0.17,0.325
0.5027777777777374,-0.165,0.325
0.5055555555554747,-0.18,0.31
0.5083333333334394,-0.185,0.305
0.5111111111111768,-0.15,0.325
0.5138888888889142,-0.14,0.335
0.5166666666666515,-0.145,0.34
0.5194444444443889,-0.145,0.33
0.5222222222221262,-0.155,0.33
0.525000000000091,-0.16,0.33
0.5277777777778283,-0.135,0.335
0.5305555555555657,-0.125,0.34
0.533333333333303,-0.125,0.34
0.5361111111110404,-0.14,0.32
0.5388888888887777,-0.135,0.295
0.5416666666667425,-0.125,0.31
0.5444444444444798,-0.1,0.33
0.5472222222222172,-0.1,0.355
0.5499999999999545,-0.08,0.36
0.5527777777776919,-0.075,0.335
0.5555555555554292,-0.08,0.34
0.558333333333394,-0.08,0.345
0.5611111111111313,-0.085,0.375
0.5638888888888687,-0.065,0.38
0.566666666666606,-0.045,0.38
0.5694444444445708,-0.05,0.37
0.5722222222223081,-0.055,0.36
0.5750000000000455,-0.04,0.38
0.5777777777777828,-0.03,0.4
0.5805555555555202,-0.005,0.415
0.5833333333332575,-0.005,0.405
0.5861111111112223,-0.01,0.395
0.5888888888889596,-0.005,0.395
0.591666666666697,-0.005,0.405
0.5944444444444343,0.0,0.42
0.5972222222221717,0.045,0.45
0.599999999999909,0.055,0.425
0.6027777777778738,0.06,0.41
0.6055555555556111,0.055,0.405
0.6083333333333485,0.045,0.42
0.6111111111110858,0.05,0.44
0.6138888888888232,0.055,0.46
0.6166666666665606,0.06,0.45
0.6194444444445253,0.055,0.44
0.6222222222222626,0.055,0.425
0.625,0.065,0.45
0.6277777777777374,0.095,0.47
0.6305555555554747,0.115,0.475
0.6333333333334394,0.115,0.48
0.6361111111111768,0.1,0.46
0.6388888888889142,0.09,0.465
0.6416666666666515,0.09,0.48
0.6444444444443889,0.1,0.495
0.6472222222221262,0.145,0.505
0.650000000000091,0.14,0.505
0.6527777777778283,0.135,0.485
0.6555555555555657,0.135,0.48
0.658333333333303,0.125,0.5
0.6611111111110404,0.13,0.53
0.6638888888887777,0.155,0.525
0.6666666666667425,0.13,0.525
0.6694444444444798,0.145,0.505
0.6722222222222172,0.135,0.5
0.6749999999999545,0.135,0.505
0.6777777777776919,0.135,0.52
0.6805555555554292,0.16,0.53
0.683333333333394,0.165,0.51
0.6861111111111313,0.145,0.505
0.6888888888888687,0.135,0.505
0.691666666666606,0.12,0.505
0.6944444444445708,0.145,0.525
0.6972222222223081,0.16,0.52
0.7000000000000455,0.155,0.51
0.7027777777777828,0.145,0.475
0.7055555555555202,0.135,0.47
0.7083333333332575,0.145,0.49
0.7111111111112223,0.15,0.51
0.7138888888889596,0.14,0.505
0.716666666666697,0.145,0.485
0.7194444444444343,0.115,0.46
0.7222222222221717,0.11,0.46
0.724999999999909,0.1,0.47
0.7277777777778738,0.09,0.5
0.7305555555556111,0.105,0.495
0.7333333333333485,0.1,0.47
0.7361111111110858,0.09,0.47
0.7388888888888232,0.08,0.455
0.7416666666665606,0.075,0.455
0.7444444444445253,0.085,0.475
0.7472222222222626,0.09,0.46
